id,geom,longitude,latitude,classname,time,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,status,gu
38476,0101000020E610000030F4FB66DD2B6040C329F61681014240,129.3707766,36.011752,banner,2024-06-02 22:43:22,36.011765,129.370842,36.667981,경상북도,포항시 남구,해도동,,,,1,남구
38483,0101000020E610000090400F90DD2B60407FF551269B054240,129.3707962,36.04379729,banner,2024-06-02 22:54:24,36.043904,129.370873,32.269242,경상북도,포항시 북구,동빈1가,,,,2,북구
38489,0101000020E61000008D6434E74F2C60402F9E6D2B3C084240,129.3847538,36.06433623,banner,2024-06-02 23:01:58,36.064387,129.384846,32.942745,경상북도,포항시 북구,두호동,,,,0,북구
38490,0101000020E6100000CDD4D1E3652C60403AAB5A0D35084240,129.3874377,36.06411902,banner,2024-06-02 23:02:27,36.064046,129.387433,32.385914,경상북도,포항시 북구,두호동,,,,0,북구
38494,0101000020E6100000B8AF7B028C2C60407568FD011C084240,129.392091,36.06335473,banner,2024-06-02 23:03:13,36.063315,129.392186,32.861321,경상북도,포항시 북구,두호동,,,,0,북구
38498,0101000020E6100000A7F32FDCCB2C60401AE5CDE194084240,129.3998853,36.06704352,banner,2024-06-02 23:04:27,36.067154,129.399837,34.5578,경상북도,포항시 북구,환호동,,,,1,북구
38500,0101000020E610000040E127ACD52C60409727C2F1E8084240,129.4010831,36.0696089,banner,2024-06-02 23:04:52,36.069645,129.401202,33.507867,경상북도,포항시 북구,환호동,,,,2,북구
38501,0101000020E6100000AC3A4BC1F92C6040CE5429E838094240,129.4054877,36.07204916,banner,2024-06-02 23:05:30,36.072009,129.405564,33.468985,경상북도,포항시 북구,환호동,,,,0,북구
38508,0101000020E61000005114ADBD352C604074C17A300E084240,129.3815602,36.06293303,banner,2024-06-02 23:12:33,36.062835,129.381581,35.703016,경상북도,포항시 북구,두호동,,,,1,북구
38509,0101000020E610000030AFF22A322C6040B7644392FD074240,129.381124,36.06242588,banner,2024-06-02 23:12:41,36.062375,129.381021,35.300777,경상북도,포항시 북구,두호동,,,,1,북구
38510,0101000020E61000002CE68693222C60403A3F6519C2074240,129.3792207,36.06061094,banner,2024-06-02 23:15:52,36.060587,129.379147,36.432888,경상북도,포항시 북구,두호동,,,,2,북구
38512,0101000020E610000049DAA652192C604043291C9182074240,129.3780912,36.05867208,banner,2024-06-02 23:16:18,36.058615,129.377976,36.854095,경상북도,포항시 북구,두호동,,,,2,북구
38524,0101000020E610000058300873CD2B60409E15DF09CE024240,129.3688293,36.0219128,banner,2024-06-02 23:38:10,36.021839,129.36877,39.976505,경상북도,포항시 남구,해도동,,,,2,남구
38526,0101000020E610000065588B46AE2B60407C80446B5D014240,129.3650239,36.01066342,banner,2024-06-02 23:43:29,36.010699,129.364957,37.715518,경상북도,포항시 남구,대도동,,,,1,남구
38529,0101000020E610000075E61ECA042B60408A8B5C47C7014240,129.3443347,36.01389401,banner,2024-06-02 23:49:30,36.01391,129.344378,40.176351,경상북도,포항시 남구,대잠동,,,,2,남구
38539,0101000020E6100000FC2A9866782B60401800954AFB024240,129.3584474,36.0232938,banner,2024-06-03 00:01:00,36.023241,129.358348,35.914601,경상북도,포항시 북구,죽도동,,,,1,북구
38548,0101000020E610000020257AE7BB2B60404B578EA428024240,129.3666875,36.01686532,banner,2024-06-03 00:11:01,36.016902,129.366761,35.064615,경상북도,포항시 남구,대도동,,,,0,남구
38560,0101000020E61000007C44B45E652B6040A4B122BD48014240,129.3561243,36.01003231,banner,2024-06-03 00:34:43,36.009953,129.356106,35.760866,경상북도,포항시 남구,대도동,,,,1,남구
38564,0101000020E61000006F32BBD00F2B60408F4471BA05024240,129.3456806,36.01579981,banner,2024-06-03 00:39:40,36.015856,129.345784,36.539894,경상북도,포항시 남구,대잠동,,,,0,남구
