id,geom,longitude,latitude,classname,time,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,status,gu
38531,0101000020E6100000B639B7C05A2B6040446314578B034240,129.3548282,36.02768982,vehicle,2024-06-02 23:54:10,36.027795,129.354908,39.499048,경상북도,포항시 북구,용흥동,,,,1,북구
38532,0101000020E610000002D66B4D5E2B6040A26DFBF1A1034240,129.3552615,36.02837968,vehicle,2024-06-02 23:54:19,36.028408,129.355306,39.045995,경상북도,포항시 북구,용흥동,,,,1,북구
38533,0101000020E61000007017BBCA6A2B6040FE2EA310D3034240,129.3567861,36.02987869,vehicle,2024-06-02 23:55:33,36.029886,129.356829,38.078388,경상북도,포항시 북구,용흥동,,,,0,북구
38540,0101000020E6100000BC87DEDB732B6040B6BEEC34E4024240,129.3578929,36.02258932,vehicle,2024-06-03 00:01:09,36.022539,129.357793,36.129657,경상북도,포항시 북구,죽도동,,,,1,북구
38541,0101000020E610000096F811C96A2B604097CBD9EABA024240,129.3567853,36.02132927,vehicle,2024-06-03 00:01:30,36.021216,129.356737,35.862985,경상북도,포항시 북구,죽도동,,,,2,북구
38542,0101000020E610000078420843682B60400F9CBCBFAB024240,129.3564773,36.02086636,vehicle,2024-06-03 00:01:42,36.020824,129.356425,35.796569,경상북도,포항시 북구,죽도동,,,,1,북구
38551,0101000020E6100000EE2E9A30C22B6040D1087520DA024240,129.3674548,36.0222817,vehicle,2024-06-03 00:29:44,36.022316,129.367386,35.98342,경상북도,포항시 남구,대도동,,,,0,남구
38552,0101000020E6100000E26755C1BD2B604091DB6296D7024240,129.3669135,36.02220421,vehicle,2024-06-03 00:29:52,36.022225,129.366859,35.584225,경상북도,포항시 남구,대도동,,,,2,남구
38553,0101000020E6100000C4180D2DB22B604095A710A8CE024240,129.3655,36.02193166,vehicle,2024-06-03 00:30:13,36.021978,129.365441,35.454851,경상북도,포항시 남구,대도동,,,,2,남구
38570,0101000020E61000003F1D7AE65D2B6040CEE4F5F9C4024240,129.3552124,36.02163624,vehicle,2024-06-03 00:43:00,36.021562,129.355287,33.631575,경상북도,포항시 북구,죽도동,,중흥로,195.0,2,북구
38572,0101000020E61000002E4039F9602B6040CCCCE97CE2024240,129.3555876,36.02253686,vehicle,2024-06-03 00:44:49,36.022507,129.355717,33.613767,경상북도,포항시 북구,죽도동,,,,0,북구
