id,longitude,latitude,classname,time,address
38487,129.3773322,36.05493644,trash,2024-06-02 22:58:24,경상북도 포항시 북구 항구동
38516,129.3753946,36.05334568,trash,2024-06-02 23:17:28,경상북도 포항시 북구 항구동
38519,129.3713769,36.04998744,trash,2024-06-02 23:22:15,경상북도 포항시 북구 학산동
38521,129.3654576,36.03469786,trash,2024-06-02 23:31:32,경상북도 포항시 북구 죽도동
38534,129.3587706,36.03188969,trash,2024-06-02 23:55:57,경상북도 포항시 북구 용흥동 용당로 42.0
38535,129.3589882,36.03244024,trash,2024-06-02 23:56:01,경상북도 포항시 북구 용흥동
38538,129.3649657,36.03139849,trash,2024-06-02 23:57:49,경상북도 포항시 북구 죽도동
38566,129.3520036,36.02332652,trash,2024-06-03 00:41:49,경상북도 포항시 북구 죽도동 새천년대로 550.0
38577,129.3548773,36.02141852,trash,2024-06-03 00:46:08,경상북도 포항시 북구 죽도동 포스코대로 277.0
38581,129.3547548,36.02305764,trash,2024-06-03 00:52:08,경상북도 포항시 북구 죽도동
38594,129.3486709,36.02802063,trash,2024-06-03 01:16:17,경상북도 포항시 북구 학잠동
38604,129.3440671,36.03279714,trash,2024-06-03 01:19:25,경상북도 포항시 북구 학잠동
38610,129.3431238,36.03335633,trash,2024-06-03 01:26:19,경상북도 포항시 북구 학잠동 양학로 128.0
38613,129.3438698,36.03203217,trash,2024-06-03 01:30:29,경상북도 포항시 북구 학잠동 양학로 110.0
38616,129.3408222,36.0324699,trash,2024-06-03 01:32:53,경상북도 포항시 북구 득량동
38679,129.381292,36.06694041,trash,2024-06-03 23:11:09,경상북도 포항시 북구 두호동
38681,129.3832389,36.06699506,trash,2024-06-03 23:13:30,경상북도 포항시 북구 두호동
38693,129.3991623,36.06974766,trash,2024-06-03 23:28:02,경상북도 포항시 북구 환호동
38698,129.3850799,36.06449488,trash,2024-06-03 23:32:19,경상북도 포항시 북구 두호동
38700,129.378563,36.05795747,trash,2024-06-03 23:36:49,경상북도 포항시 북구 두호동
38703,129.3769039,36.05245149,trash,2024-06-03 23:38:23,경상북도 포항시 북구 항구동
38707,129.3682071,36.04905742,trash,2024-06-03 23:42:00,경상북도 포항시 북구 대신동
38714,129.3698002,36.05089452,trash,2024-06-03 23:48:29,경상북도 포항시 북구 학산동
38717,129.3708636,36.05081226,trash,2024-06-03 23:57:22,경상북도 포항시 북구 학산동
38748,129.3692155,36.03191569,trash,2024-06-04 00:22:05,경상북도 포항시 북구 죽도동 죽도로68번길 20.0
38760,129.3696226,36.03158463,trash,2024-06-04 00:27:54,경상북도 포항시 북구 죽도동
38761,129.3685811,36.03238028,trash,2024-06-04 00:28:27,경상북도 포항시 북구 죽도동
38765,129.3668965,36.03245978,trash,2024-06-04 00:41:11,경상북도 포항시 북구 죽도동 죽도로 62.0
38797,129.3645261,36.04330532,trash,2024-06-04 01:35:22,경상북도 포항시 북구 덕수동
38805,129.3646076,36.04209373,trash,2024-06-04 01:43:40,경상북도 포항시 북구 덕산동
38811,129.3623173,36.04115499,trash,2024-06-04 01:52:04,경상북도 포항시 북구 신흥동
38816,129.3630898,36.04097487,trash,2024-06-04 01:58:45,경상북도 포항시 북구 신흥동
38820,129.3581047,36.04252247,trash,2024-06-04 02:01:26,경상북도 포항시 북구 용흥동
38826,129.3593319,36.03957815,trash,2024-06-04 02:02:42,경상북도 포항시 북구 용흥동
38831,129.3505169,36.04412728,trash,2024-06-04 02:08:55,경상북도 포항시 북구 용흥동
38832,129.3507965,36.04494137,trash,2024-06-04 02:09:09,경상북도 포항시 북구 용흥동
38846,129.3513424,36.04059505,trash,2024-06-04 02:17:05,경상북도 포항시 북구 용흥동
39013,129.3773138,36.05288511,trash,2024-06-13 08:22:58,경상북도 포항시 북구 항구동
39021,129.3796357,36.05956374,trash,2024-06-13 08:24:09,경상북도 포항시 북구 두호동
39032,129.3874441,36.06413642,trash,2024-06-13 08:25:52,경상북도 포항시 북구 두호동
39053,129.4115036,36.07319119,trash,2024-06-13 08:31:13,경상북도 포항시 북구 여남동 해안로 498.0
39054,129.4097415,36.07428581,trash,2024-06-13 08:31:43,경상북도 포항시 북구 여남동
39056,129.4090856,36.07414631,trash,2024-06-13 08:31:51,경상북도 포항시 북구 여남동
39057,129.408548,36.0739863,trash,2024-06-13 08:31:58,경상북도 포항시 북구 여남동
39058,129.4074651,36.07313103,trash,2024-06-13 08:32:17,경상북도 포항시 북구 환호동 여남포길 15.0
39127,129.366436,36.03286016,trash,2024-06-13 14:00:01,경상북도 포항시 북구 죽도동
39130,129.3659356,36.03330925,trash,2024-06-13 14:00:52,경상북도 포항시 북구 죽도동
39195,129.3695568,36.03176511,trash,2024-06-13 14:52:11,경상북도 포항시 북구 죽도동 죽도로68번길 21.0
39200,129.3688554,36.03232428,trash,2024-06-13 14:52:28,경상북도 포항시 북구 죽도동 죽도로68번길 11.0
39206,129.3670993,36.03089914,trash,2024-06-13 14:54:20,경상북도 포항시 북구 죽도동
39209,129.3685388,36.03007323,trash,2024-06-13 14:58:29,경상북도 포항시 북구 죽도동
39213,129.3674319,36.03034571,trash,2024-06-13 14:59:01,경상북도 포항시 북구 죽도동 중앙로192번길 5.0
39309,129.3504903,36.02718703,trash,2024-06-16 10:11:24,경상북도 포항시 북구 학잠동 양학로34번길 8.0
39321,129.3498891,36.02255059,trash,2024-06-16 10:16:23,경상북도 포항시 북구 득량동
39323,129.3494611,36.02187431,trash,2024-06-16 10:16:32,경상북도 포항시 북구 득량동
39331,129.3490798,36.01526877,trash,2024-06-16 10:18:39,경상북도 포항시 북구 죽도동
39352,129.3556779,36.02237513,trash,2024-06-16 10:32:57,경상북도 포항시 북구 죽도동 중흥로 195.0
39354,129.3562106,36.02231386,trash,2024-06-16 10:33:07,경상북도 포항시 북구 죽도동
39380,129.3450163,36.03011615,trash,2024-06-16 14:53:51,경상북도 포항시 북구 득량동
39418,129.3332995,36.05577364,trash,2024-06-16 15:12:16,경상북도 포항시 북구 흥해읍 대련리
39430,129.3466644,36.0400514,trash,2024-06-16 15:16:13,경상북도 포항시 북구 용흥동
39433,129.3558992,36.03374988,trash,2024-06-16 15:18:09,경상북도 포항시 북구 용흥동
39441,129.3512816,36.02627906,trash,2024-06-16 15:21:12,경상북도 포항시 북구 학잠동
39460,129.3526459,36.01587986,trash,2024-06-16 16:00:45,경상북도 포항시 북구 죽도동
39469,129.3545766,36.02316309,trash,2024-06-16 16:09:18,경상북도 포항시 북구 죽도동
39472,129.3491558,36.02766347,trash,2024-06-16 16:12:31,경상북도 포항시 북구 학잠동
39500,129.3534028,36.01686123,trash,2024-06-17 10:08:55,경상북도 포항시 북구 죽도동
39525,129.3409484,36.03503038,trash,2024-06-17 11:39:25,경상북도 포항시 북구 득량동
39526,129.3405859,36.03569048,trash,2024-06-17 11:40:07,경상북도 포항시 북구 득량동
39554,129.3556049,36.02591979,trash,2024-06-17 12:03:22,경상북도 포항시 북구 죽도동
39556,129.3549195,36.026238,trash,2024-06-17 12:03:33,경상북도 포항시 북구 용흥동
39561,129.3541003,36.02995031,trash,2024-06-17 12:06:58,경상북도 포항시 북구 용흥동 새천년대로631번길 12.0
39563,129.3551595,36.03076602,trash,2024-06-17 12:07:36,경상북도 포항시 북구 용흥동 새천년대로631번길 14.0
39566,129.3556595,36.02969534,trash,2024-06-17 12:11:03,경상북도 포항시 북구 용흥동
39570,129.3596985,36.03203735,trash,2024-06-17 12:12:57,경상북도 포항시 북구 용흥동
39571,129.3619577,36.03093768,trash,2024-06-17 12:13:40,경상북도 포항시 북구 죽도동 중흥로309번길 18.0
39576,129.365801,36.03342534,trash,2024-06-17 12:19:12,경상북도 포항시 북구 죽도동
39580,129.3677893,36.03696868,trash,2024-06-17 12:22:18,경상북도 포항시 북구 남빈동 칠성로 53.0
39587,129.3541081,36.01704823,trash,2024-06-17 12:32:51,경상북도 포항시 북구 죽도동 중흥로140번길 3.0
39590,129.3546732,36.01721337,trash,2024-06-17 12:36:24,경상북도 포항시 북구 죽도동
39594,129.357439,36.02728384,trash,2024-06-17 12:45:26,경상북도 포항시 북구 죽도동
39596,129.3578935,36.02825906,trash,2024-06-17 12:46:44,경상북도 포항시 북구 죽도동 중흥로267번길 33.0
39597,129.3572198,36.02840168,trash,2024-06-17 12:46:58,경상북도 포항시 북구 죽도동 중흥로267번길 39.0
39602,129.3536992,36.02629121,trash,2024-06-17 12:50:19,경상북도 포항시 북구 용흥동
