id,longitude,latitude,classname,time,status,address
38483,129.3707962,36.04379729,banner,2024-06-02 22:54:24,0,경상북도 포항시 북구 동빈1가
38489,129.3847538,36.06433623,banner,2024-06-02 23:01:58,0,경상북도 포항시 북구 두호동
38490,129.3874377,36.06411902,banner,2024-06-02 23:02:27,2,경상북도 포항시 북구 두호동
38494,129.392091,36.06335473,banner,2024-06-02 23:03:13,1,경상북도 포항시 북구 두호동
38498,129.3998853,36.06704352,banner,2024-06-02 23:04:27,0,경상북도 포항시 북구 환호동
38500,129.4010831,36.0696089,banner,2024-06-02 23:04:52,1,경상북도 포항시 북구 환호동
38501,129.4054877,36.07204916,banner,2024-06-02 23:05:30,2,경상북도 포항시 북구 환호동
38508,129.3815602,36.06293303,banner,2024-06-02 23:12:33,2,경상북도 포항시 북구 두호동
38509,129.381124,36.06242588,banner,2024-06-02 23:12:41,2,경상북도 포항시 북구 두호동
38510,129.3792207,36.06061094,banner,2024-06-02 23:15:52,1,경상북도 포항시 북구 두호동
38512,129.3780912,36.05867208,banner,2024-06-02 23:16:18,1,경상북도 포항시 북구 두호동
38539,129.3584474,36.0232938,banner,2024-06-03 00:01:00,1,경상북도 포항시 북구 죽도동
38565,129.3514536,36.02317799,banner,2024-06-03 00:41:37,1,경상북도 포항시 북구 죽도동
38571,129.3553081,36.02206714,banner,2024-06-03 00:44:31,2,경상북도 포항시 북구 죽도동
38578,129.3569328,36.02146736,banner,2024-06-03 00:47:01,2,경상북도 포항시 북구 죽도동
38589,129.3509383,36.0228754,banner,2024-06-03 01:05:54,1,경상북도 포항시 북구 득량동
38592,129.3521515,36.02444884,banner,2024-06-03 01:13:44,1,경상북도 포항시 북구 득량동
38596,129.3480302,36.02833231,banner,2024-06-03 01:16:26,1,경상북도 포항시 북구 학잠동
38599,129.3445714,36.03072523,banner,2024-06-03 01:18:22,0,경상북도 포항시 북구 학잠동
38601,129.344127,36.03139147,banner,2024-06-03 01:18:34,0,경상북도 포항시 북구 득량동
38603,129.3438416,36.03266443,banner,2024-06-03 01:19:16,2,경상북도 포항시 북구 학잠동
38607,129.3449456,36.03120675,banner,2024-06-03 01:22:38,1,경상북도 포항시 북구 학잠동 양학로108번길 6.0
38609,129.3433476,36.03277683,banner,2024-06-03 01:26:10,1,경상북도 포항시 북구 득량동
38611,129.3430141,36.03317482,banner,2024-06-03 01:26:27,0,경상북도 포항시 북구 득량동
38615,129.3429292,36.03240628,banner,2024-06-03 01:30:50,2,경상북도 포항시 북구 득량동
