id,longitude,latitude,classname,time,status,address
38551,129.3674548,36.0222817,vehicle,2024-06-03 00:29:44,2,경상북도 포항시 남구 대도동
38552,129.3669135,36.02220421,vehicle,2024-06-03 00:29:52,2,경상북도 포항시 남구 대도동
38553,129.3655,36.02193166,vehicle,2024-06-03 00:30:13,1,경상북도 포항시 남구 대도동
38619,129.3407249,36.02671315,vehicle,2024-06-03 01:35:09,2,경상북도 포항시 남구 이동
38621,129.3408984,36.02619021,vehicle,2024-06-03 01:36:28,2,경상북도 포항시 남구 이동
38622,129.3421659,36.02576137,vehicle,2024-06-03 01:36:45,0,경상북도 포항시 남구 대잠동
38624,129.3420589,36.02686144,vehicle,2024-06-03 01:37:22,1,경상북도 포항시 남구 대잠동
38626,129.341567,36.02579782,vehicle,2024-06-03 01:42:04,2,경상북도 포항시 남구 대잠동
38629,129.3404159,36.02722641,vehicle,2024-06-03 01:44:04,2,경상북도 포항시 남구 이동
38728,129.377709,36.03359034,vehicle,2024-06-04 00:13:39,2,경상북도 포항시 남구 송도동
38729,129.3770999,36.03343998,vehicle,2024-06-04 00:13:48,1,경상북도 포항시 남구 송도동
38731,129.3784236,36.03384707,vehicle,2024-06-04 00:14:13,1,경상북도 포항시 남구 송도동
38734,129.3791139,36.03404762,vehicle,2024-06-04 00:15:07,2,경상북도 포항시 남구 송도동
38736,129.3796954,36.03467233,vehicle,2024-06-04 00:16:51,1,경상북도 포항시 남구 송도동 송도해안길 36.0
38741,129.3763317,36.03333133,vehicle,2024-06-04 00:20:05,2,경상북도 포항시 남구 송도동
38772,129.37362,36.03050569,vehicle,2024-06-04 00:44:36,0,경상북도 포항시 남구 송도동
38773,129.3745596,36.02914536,vehicle,2024-06-04 00:47:05,0,경상북도 포항시 남구 송도동
38778,129.3740127,36.02990829,vehicle,2024-06-04 00:51:59,0,경상북도 포항시 남구 송도동
38779,129.3748887,36.0286686,vehicle,2024-06-04 00:52:50,0,경상북도 포항시 남구 송도동
38784,129.3738082,36.03128699,vehicle,2024-06-04 01:15:55,2,경상북도 포항시 남구 송도동
38786,129.374385,36.03136293,vehicle,2024-06-04 01:16:12,0,경상북도 포항시 남구 송도동
38787,129.3745722,36.03079312,vehicle,2024-06-04 01:16:24,1,경상북도 포항시 남구 송도동
38792,129.3732165,36.03119571,vehicle,2024-06-04 01:19:45,2,경상북도 포항시 남구 송도동
38875,129.3724621,36.02918441,vehicle,2024-06-10 05:17:14,0,경상북도 포항시 남구 해도동
38876,129.3743731,36.02938872,vehicle,2024-06-10 05:17:37,2,경상북도 포항시 남구 송도동
38877,129.3746757,36.02895615,vehicle,2024-06-10 05:17:43,2,경상북도 포항시 남구 송도동
38878,129.3737954,36.03019737,vehicle,2024-06-10 05:20:25,2,경상북도 포항시 남구 송도동
38879,129.3735195,36.03066197,vehicle,2024-06-10 05:20:31,1,경상북도 포항시 남구 송도동
38880,129.37317,36.03111982,vehicle,2024-06-10 05:20:41,2,경상북도 포항시 남구 송도동
38881,129.3736432,36.03131047,vehicle,2024-06-10 05:20:48,1,경상북도 포항시 남구 송도동
38882,129.3741829,36.03137596,vehicle,2024-06-10 05:20:58,1,경상북도 포항시 남구 송도동
38883,129.3796361,36.03481315,vehicle,2024-06-10 06:13:12,0,경상북도 포항시 남구 송도동 송도해안길 36.0
38884,129.3793121,36.03410424,vehicle,2024-06-10 06:13:26,0,경상북도 포항시 남구 송도동
38885,129.3785855,36.03385418,vehicle,2024-06-10 06:13:35,1,경상북도 포항시 남구 송도동
38886,129.3777013,36.03358557,vehicle,2024-06-10 06:13:45,2,경상북도 포항시 남구 송도동
38887,129.3771209,36.03341781,vehicle,2024-06-10 06:13:50,1,경상북도 포항시 남구 송도동
38888,129.3765356,36.03335123,vehicle,2024-06-10 06:13:57,1,경상북도 포항시 남구 송도동
38889,129.3760224,36.03336778,vehicle,2024-06-10 06:14:39,0,경상북도 포항시 남구 송도동
38896,129.3671739,36.0222472,vehicle,2024-06-12 00:45:48,0,경상북도 포항시 남구 대도동
38897,129.3665862,36.0221414,vehicle,2024-06-12 00:45:56,0,경상북도 포항시 남구 대도동
38898,129.3658955,36.02200892,vehicle,2024-06-12 00:46:03,1,경상북도 포항시 남구 대도동
38899,129.3535157,36.01201108,vehicle,2024-06-12 00:50:53,2,경상북도 포항시 남구 상도동
39092,129.3793084,36.03411263,vehicle,2024-06-13 13:33:19,0,경상북도 포항시 남구 송도동
39093,129.3785808,36.03387644,vehicle,2024-06-13 13:33:27,2,경상북도 포항시 남구 송도동
39094,129.3778145,36.03362807,vehicle,2024-06-13 13:33:36,1,경상북도 포항시 남구 송도동
39095,129.3771671,36.03342503,vehicle,2024-06-13 13:33:43,0,경상북도 포항시 남구 송도동
39096,129.3764751,36.03335022,vehicle,2024-06-13 13:33:50,2,경상북도 포항시 남구 송도동
39097,129.3759707,36.03338843,vehicle,2024-06-13 13:33:58,0,경상북도 포항시 남구 송도동
39105,129.3800613,36.03440851,vehicle,2024-06-13 13:38:25,0,경상북도 포항시 남구 송도동 송도해안길 36.0
39115,129.3796602,36.03472059,vehicle,2024-06-13 13:56:22,1,경상북도 포항시 남구 송도동 송도해안길 36.0
39142,129.3738239,36.03013016,vehicle,2024-06-13 14:08:12,0,경상북도 포항시 남구 해도동
39144,129.373468,36.03073647,vehicle,2024-06-13 14:08:20,0,경상북도 포항시 남구 송도동
39145,129.3735833,36.03130293,vehicle,2024-06-13 14:08:37,2,경상북도 포항시 남구 송도동 송림로21번길 20.0
39146,129.3740921,36.03137059,vehicle,2024-06-13 14:08:45,2,경상북도 포항시 남구 송도동
39148,129.3745154,36.03107611,vehicle,2024-06-13 14:09:01,2,경상북도 포항시 남구 송도동
39149,129.3746859,36.0304666,vehicle,2024-06-13 14:09:16,1,경상북도 포항시 남구 송도동 송림로9번길 14.0
